review,place
"I visited there with my Family 6 year ago at that time I used to live with my family in Madurai .Its took 4hrs from Madurai by bus. Its so beautiful place at the top of mountain which is almost surrounded by clouds. Their lake is very beautiful with cool water. Especially  the market  is very beautiful. There we can get winter cloth , anticmaterials and many more things, Thier climate is so much good , we enjoyed rainy season for few minutes and also winter season. We played rugby also. Their restaurant provide variety of food and cheap rate.",Kodaikanal
"Hi I have visited this place during off-season for the first time in my life. This place is surrounded by lots of tourist attraction and plenty of tree and hill sides. I went there from madurai to kodaikanal from a bike around 150kms, the bike ride itself was so exciting. I have enjoyed the ride stress free since the traffic was less and not too cold, ideal for small children's. Pro- .scenic place .you'll forget all your stress once you go up the mountain .Good road conditions .Less pollution .scenery places like pine forest, berijam lakes, guna caves etc are worth to see atleast once in a life time Cons- .It'll get little crowded in season time .You need to be a very good driver to climb up the hill, esp during season time. .little too narrow and dangerous roads in some places .might get too cold during night times, hence keep a blanket handy .some resorts or hotels will charge extra to give you a scenic rooms, if you book hotel rooms online like oyo, makemytrip Area of improvement- .most of the hotels are expensive, hence some had to go to road side shops .it's dangerous during night time, due to lack of street lights while climbing up the hill. .Visibility is less during night and foggy times.",Kodaikanal
"GOOD EVENING FRIENDS, My husband and myself stayed in Kodaikanal for one 1 week when we got holiday vacation in last year.I  heard alot about Kodaikanal it is a beautiful place and it is a number one hill station in south india etc. If I say something  about Kodaikanal, yeah it is a beautiful hill station. There have boating, cycling, climbing and many more.But I expected more than that, but I did not find there anything except boating, lake, cycling and shopping areas. I bought a new hand bag from there. Oh my god killing price for that product, around 1000 rs for a small hand bag and Jewellery also have over prize.The sellers sitting there for pulling money of customers  and product quality is poor. I bought a slipper for 500 rs. I Used that slipper just two weeks only. Slipper got damaged within two weeks, that is the product quality of their product what they sold to visitors. The  lake is beautiful instead the water is murky and is full of algae.The boating facility is good which they provided. It was awesome.But all washrooms are very dirty and disgusting if anyone go to inside the bathroom. Regards, NFKC",Kodaikanal
Tour with murdeshwar.this temple is uttrakhand state county India.you're temple is Hindu god mahadev best big shiv temple is god tour banglour highvay.this temple four murdeshwer is 1kms city road 4kms house visit to rasidance visit&best jamia masjid with murdeshwar mahadev.murdewar mahadev this hottel higher prize but all facility you're target higher hotels prize start rs.6000.this state is full safety and comfortable tourism best best,Murdeshwar
"Kodaikanal is indeed the best ever Hill-Station or you can state as the Popular Holiday Destinations of South India(Tamil Nadu). And yes I am in Love with this place and have visited 4 times till today. I won't be writing much about what we did but will give an idea what can be done and I hope that this will help any of the People to make their plans accordingly. First thing how to reach? Well I will be very honest to state that there is a well connected network of Transportation to reach Kodaikanal. It will be a FUN drive for any of the passionate driver steering through the awesome HIGHWAY and Ghat sections. For others who prefer public transport please note these statements. > There are many Good and comfortable buses from Bangalore towards Kodaikanal. Sleeper and semi-sleeper, Ac or Non-Ac all options are available. It usually take around 10 Hours over night journey via bus to reach Kodaikanal covering a distance of around 470 kms in total. > One can also opt for travelling via train but they need to keep in mid that they need to be prepared to travel around 80 kilometers from the Kodaikanal road Train station. Bus services are available and are easily accessible.  Tuticorin Express and the Nagarcoil Express are some of the well known trains. > Now if any one is keen to travel via Airplane they need to make their reservations to either of these nearest airports Madurai( 120 kms) Coimbatore( 170 kms) and Trichy( 150 kms) They they need to take the roadways transport to reach Kodaikanal. Now you have reached Kodaikanal:) what next? Book a Hotel! Yeah There are many options for choosing the right comfort hotel at Kodaikanal. But I would like to suggest that Online Booking is one of the best way as we can be assured that that the rooms are ready. Moreover we can also get some of the best deals by comparing the prices at various sites. Now we are all set to tour around, hence here are some of the best places that can be visited: BERIJAM LAKE: One should definitely visit this place although this place is covered by forest. Make sure to reach there early as some definite numbers of vehicles are allowed to pass with an entry fee of INR 200. This lake can be visited from 9 AM till 3 PM. This place is a great place to  spot fauna like bison, leopard around if lucky enough. COAKERS WALK: This place a very romantic place and is also great for a Nice photo shoot. This place was named after Lt. Coaker who prepared the city map of Kodaikanal. There is an Entry Fee of INR 10 per person. The Kodai valley looks very amazing from this place and one can enjoy a nice WALK amidst the nature. Ice-cream vendors are an added advantage to the walk:) PILLAR ROCKS: This place is a famous tourist attraction which is around 7 kilometers from the city. The drive to this place is really awesome. If there is no fog one can see the Pillar like ROCKS emerging from the ground and it really looks enchanting. You can also grab a snack as there are many shops where you can find Tea/coffee and other edibles. KURINJI ANDAVAR TEMPLE: This is a place for the people who is devoted towards their faith in GOD. A definite place to offer prayer to The Lord Murugan. KODAI LAKE: I would like to inform to my viewers that this is not a Natural Lake and was constructed back in the year 1863. Now there are many things that can be done here. Boating is one of the best thing that can be done and just keep peddling and steer near to the Banks of the lake where the Ice-cream vendor will be waiting for you to give you some delight at some great cost. Horse riding is also available and yes the Horses there are very well fed and they look gigantic. Cycling is also available at a very cheap price. GUNA CAVES: Now this is a rocking place. Its full of trees and you can literally see the Roots that pop out of the ground and gives an amazing look. One need to trek for a small distance to the place where the Guna caves are located. The caves are now well barricaded due to unexpected accidents but can be viewed from a man made tower. These are much more things that can be done there shopping, eating and driving through the pine forest etc. Overall Kodaikanal is indeed my Favorite Hill-Station of South India and I look forward for mt fifth visit soon.",Kodaikanal
"Dear friends, I visited Kodaikanal in 2007. its most memorable thing in my life. so I would like to share my memorable experience! Kodaikanal is sistuated in Tamilnadu near Dindigul. Kodaaikanal is one of the best Hill Station in India. It is situated above 2000 meters from the Sea level. so we can enjoy cool Climate there! Lot of Sightseeing in Kodaiknal. GUNA CAVE, VIEW POINT, LAKE AREA are the important Picnic spots in Kodaikanal. Kodaikanals Lake is very deep. But boating experience given me a good experience in a low cost. near the Lake I saw a big Rose garden & I wondered. I made Horse riding on the road. Lot of Horses are availible for low rent for riding! I stayed in a good Hotel with nominal cost only. Plenty of Hotels & Star Hotels are availible there. Accomodations cost is acceptable. Because Rs.500 per day is not a big thing for a common man! Kodaiknal is the saftey place to stay there. Because I stayed there 3 days. There is no doubt abou saftey problem.",Kodaikanal
"This place has got amazing view from the top. You will definitely find peace here. Visit in morning for better experience. Also roads from highway to fort will put u in little trouble. But overall experience will be great! Go with your friends, family. You will also find some canteens there and great food at cheap rate. Must visit if you are visiting any other place nearby. 4",Sinhagad
Please stop checking Karnataka vehicles in that way what ur doing now my personal experience is that A cop told he needs to check the vehicle after checking full car he told he needs water when we gave  water he just drank Nd spat the water but he never checked any TN or Kerala vehicles in the way they check our Karnataka vehicles.,Kodaikanal
"You always feel comfortable to express your feelings about the things that you like the most. Travelling, climbing are my favourite activities. I am writing this review based on my previous visit to singhgad fort. (As a Puneite I am a regular visitor of this fort. It is just that the new motherhood has kept me away for a a while). I intend to start my activities this monsoon. If you do not exercise regularly, you climb the Sinhagad fort every Sunday morning. This is the mantra of most of the people in pune. The climb starts before sunrise. It is about one and half hour climb. You reach the top have breaksfast (local food) then start descending. Reach the foot of the fort by 10 am. Reach home by 11am and spend your holiday as you wish. Visiting Sinhagad Time to visit: Any time of the year be it summer, winter or rains Distance from Pune : 26 kms. Height :approx 700-800mts (only) How to reach the fort: Obviously reach Pune first. From Pune station or better would be to reach the Swargate ST stand. There are many city buses that ply from Swargate ST stand. The city buses take you to the sinhagad gaon (village). For Tourist : There are many options to reach the top of Sinhagad fort via TumTum(ie share rickshwas). Dept of tourism has a bus going(I have never travelled..But I know it is there). Pvt vehicles, jeeps and blah blah..There is absolutely no problem in reaching the fort. You need not take the pains of climbing the fort. There is a tar road right upto the top. For trekkers : Reach the ''paytha'' or the foot of the fort. The paytha is accessible via the sinhagad village. It is around 25-30 mins walk to the ''paytha'' from the village. Once you reach the paytha ..then..then go ahead start climbing. You can climb during day, during night (chandani raat mein) anytime. If you decide to start early in the morning the best would be to stay overnight at the hotels in the sinhagad gaon. If you really want to trek, then you should consider trekking Sinhgad via Katraj (the seven mountain trek. this is again another subject). History : The fort was conquered by Tanaji Malasure on behalf of Raje Shivaji. (It is very interesting to read about the battle and the way it was conquered. I will not write about it in this.) On the top to see : Dev Take - famous tank with sweet and cold water. Tanaji's samadhi on the fort. The tower of Doordarshan is also there on Sinhagad. You can see the Panshet, Khadakwasla and Varasgaon dams and Torana fort also. To add to it The view of entire Pune city looks splendid. when you visit sinhagad. If you do so you will be missing on the taste of the Maharashtrian village deliacy. You may carry water with you. Once you reach the top there is a cool water tank on the fort. People keep visiting sinhgad fort for the scenic beauty, but more so for the food. There are many huts of the villagers on the top of the fort. They prepare garam garam",Sinhagad
"After a short halt at Sinhagad, kick start your bike to go into deeper jungles. Maval Srusti, after less than a hour’s ride you will reach a peaceful and pollution-free resort amidst thick forests. The resort is on top of a hill and the view of the valley is awesome, surrounded by thick forest. This resort is a project by the Joshi's - contributing their bit to conserving the nature. Several variety of plants are planted all over; no campfire allowed as it requires cutting of trees and closer home - no smoking or drinking or television or tape recorder. And that is precisely what gives you time and peace to enjoy a game of table tennis, carrom and a relaxed swim. Food is Maharastrian complete with a sweet dish and I should say dinner was better than lunch. Afternoon snack and tea are welcomed, specially if you are visiting on a cloudy day. The room service is pleasant, ready with a smile on their faces. Another highlight is the beautiful waterfall , which comes after over a 100 steps. It is a trek with beautiful plants and flowers along the way. We even caught an ant-hill! Photographers, nature lovers, gardeners or just about anyone - one place beautiful to occupy anybody - and don't forget to stand a while and smell the nature all over you. The experienced of riding up a hill and living in a thick forest was just wonderful. The clouds were touching the hill - tops but then they got the rains as well. Got some beautiful pictures.",Sinhagad
"Kodaikanal is one of the most popular hill stations in South India. Kodai has the most pleasant weather throughout the year. It is at a hieght of 2133 metres above sea level and offers breathtaking views all around. After visiting the other two hill stations of South - Yercaud and Ooty, I was curious to know how Kodai was. We set out for Kodai by road and my research on the net indicated that it was 7.5 to 8 hours drive. But in the end it took 10 hours! The lesson I learnt was not to believe everything on the net. The road from the entrance to Kodai to the hills will itself take 1.5 hours. Reaching Kodai Kodaikanal is around 490 kms from Bangalore and the road to take is the  Salem-Dharmapuri-Dindigul route. We need to take a deviation on the Madurai highway. There are trains available (which are all booked 3 months in advance), which stops at Kodai Road station, from where you need to catch a bus or taxi (1.5 hours) to reach Kodai. For those who want to fly, nearest airport is Madurai, which is 128 kms away. Staying in Kodai There are many hotels in Kodai, but the popular ones like Kodai Resort, Sivapriya, Villa Retreat are difficult to get in the peak season unless you reserve 10-15 days in advance. We settled on a new hotel called Silver Springs, which turned out to be a real gem (review on the hotel posted separately). There are a large number of hotels, so even if you walk in without a booking you can get rooms, but quality is not reliable! About Kodai Kodaikanal is a typical hillstation and like all hillstations is centred around the lake. The town is on a hillock with picturesque sceneries all over. Greenery and mountains embrace you, wherever you go. The biggest attraction of Kodaikanal is the weather. Temperatures never rise above 20-25 degrees. We visited Kodai in the peak of summer. It was sweltering heat in the cities below the hills., But the moment we entered Kodai, it was like stepping into heaven. A light spell of rain ensured that the weather turned chilly! Mist everywhere makes it a visual treat. Another interesting note is that most hotels in Kodai have no fans or AC - the reason is of course the cool weather. The summer nights were actually cold and you may even need sweaters! Even when the sun is blazing in the sky, you still experience a cool breeze - real heaven! And you see the sun in the sky and the next minute, mist all around - thats an amazing experience not to be missed. Eating out There are a wide variety of options to eat out in Kodai. Hotel Astoria, Sivapriya are popular. But our choice was Annapoorna on 7 Roads junctions, which offered excellent breakfast and South Indian meals. Another little restaurant which offered homely North Indian food was Rasoi near the bus stand. Rasoi and another restaurant Punjabi Ghar next to it is run by a Punjabi lady. The restaurant offers tasty and homely North Indian food. Chapathis, Theplas, lassi and a array of side dishes all of which are tasty and not very expensive. Other options include Pizza Corner, Hotel Woodlands, etc. Also, at all of the sight seeing places, you get healthy snacks like roast corn and a special bhel puri that uses boiled groundnuts, carrot, mango, etc. Carrots and plums are a specialty of Kodai and available at many places and are fresh and tasty. Shopping Around the lake you can buy sweaters, jerkins, and a lots of other things.  But the main shopping area is on 7 Roads junction and near the bus stand. Home made chocolates in a main shopping attraction. Eucalptyus oil, spices like cinnamon, cloves, etc are sold everywhere. Coffee and tea are other shopping attractions. Things to do Sightseeing of course is the main thing to do in Kodai. There are so many things to see there, that I am writing another review on the sightseeing in Kodai. Some of the tourist attractions are the Lake, Coakers walk, Bryant Park, Upper lake view, Moier view point, Suicide point, Pillars rock, Bear shola falls, Silver cascade falls, Guna caves (Devils kitchen), Observatory, etc. http://www.mouthshut.com/review/General_tips_on_Travel-191904-1.html Apart from the sight seeing places, you can spend quality time near the lake. There are parks surrounding the lake, where you can relax and also where children can play. There are other attractions around the lake, like a skating area, where adults and children can try their hand at skating. There is a 3D cinema show, book exhibition and other attraction",Kodaikanal
"Few places offer the variety of views that Sinhagadh can. The greenery in monsoon is simply awesome. The way clouds drift up the valley is indescribable. And here's also perhaps the sweetest natural water that I've ever had. It is located about 40 kms from Pune. One must visit the Khadakwasla Dam that's situated on the way to Sinhagadh. The lake is a good weekend getaway. Not only because of its natural beauty, but also because of its historical importance, this fort is a must see for anyone visiting Pune. It is best as a weekend getaway. Don't miss the ''kaandaa bhaji'' and ''chai''. The combination works wonders in the chill breeze that blows on the mountain tops - excellent for couples too. As with all such places, bunches of eve-teasers are always present, so one needs to be careful. This is true for Khadakwasla too. There are buses from Swargate to the foot of Sinhagadh. Scaling the hillock serves as a good trek - best during early summer.",Sinhagad
"I visit this place with my family tour. This is such a great place have seen. My family member and myself enjoyed a lot in Murudeshware beach.  Accessibility is superb. The Lord SIVA temple is very good. The Shiva is simple magnificent and the temple is maintained well as well. Its fantastic place to be. It took us around 3 hr to see each place. Local sightseeing is awesome, her in Murideshwara we can see our old construction to temple, which is height is too height from the land and it is nearer to ocean beach. Lord Siva is higher is 220 feet. In this place near more hotels available. Hotel is too good. Hotels and resorts near a beach side or walk-able distance from highway.  if you want to relax or tension free up your mind just go to this awesome place to spend time with your family members. This is cool relaxing place to spend a day or two. Along with the main attractions few water sport are there in some seasons. That place is very enjoyable. or this is plce is more secure and full with security guards available on site.",Murdeshwar
"We went to Murdeshwar after visiting our industrial visit 2months back. . The time we went there it was almost 7pm. The place we specially visited was the murdeshwar temple, it was the 1st time I went to this place and was mesmerised by the beauty of the temple, it is so much big having 2 large elephant statues in the front, a big shiva statue on the bed of the ocean, many statues of moans, krishna on ratha etc. The place is very well maintained. The temple is very beautiful. There are many hotels near by so there is no problem with accommodation and food. The local sightseeing are also good there is a beach next to the temple. The safety is good, police will not allow the people to visit the beach after 11pm.and there is thief problems. If you are visiting mangalore then pay a visit here, you will never forget the place.",Murdeshwar
"One of the best tourist attraction near to Pune. It's just 15 km from baner Pune . Best time to visit is rainy season. Fort was built by shivajee and it's compeltely ruined now. But best thing is the atmosphere you find in that hill is superb. The clouds are just moving around by touching to the ground. Completely filled with fog in rainy season where by you can not even see any thing at a distance of more than 10-15 feet. Huge amount of people used to visit in week ends, and parking 2/4 wheeler is a difficult task. Upto night 10 PM you can find crowd out there. Road to reach the fort is not very good and you have to be little care full. From the top of the fort you can see all the near by places and take good photos as well. Most of the people travelling are either couples or college students.",Sinhagad
Just about 30 km from pune is this beautiful fort..its not much of a fort now as its in ruins and you only could imagine what it must have been...not withstanding the maintanance the gov and the local bodies have done to restore it.. there are couple of routes to reach sinhagad...one obviously is via the sinhagad road via saras bag...another is from wakad via the road that passes behind the NDA...another route is from the pune-satatara road...longest yet the most beautiful route!! the food here is amazing and earthy...very basic yet delicious...bhakri pitla and kandha bhajji is amazing especially in the rainy season!! there are couple of cottages there like the tilak cottage and another private one and the pwd cottage is also available for which booking has to be done from pmc pune near sasoon hosp..however I prefer staying in a tent over there!!...check couple of photographs in my orkut profile...,Sinhagad
"One of the greatest military operations in the history of India, would be the capture of Which takes your breath away, with it’s sheer grandeur, and of course one of the most soul stirring tales behind it. And it had a huge garrison of Tanaji  did a survey of the area, and found that the only way to get into the fort, was from the South side, as it was the least guarded. The southern flank was on the top of a huge cliff, and it was assumed that no one could really scale it. Once he was sure of his strategy, he gathered The point of access choosen was the South Western gorge, which had the least security. Once, Tanaji and his men broke into the fort, the doors would be thrown open, following which another contigent of Though the Marathas were outnumbered by the 1000 strong garrison consisting of When As you watch this great man, and recall his valour, loyalty and courage, you feel a sense of pride and joy.",Sinhagad
Hi guys as I have visited kodaikanal before 4 months and I have got a very bad experience while travelling here. As there are no hotels at all to live for the foreigners who are visiting from other countries or from other states in india. There are only rivers across kodaikanal and other interesting places are not there its only waste of time to go at this places. At this place very few people lives and very boring places are also there. And about hotels there are very very few hotels and also not tasty food at all. So I better suggest dont to go such places and get bored and also there is no safety at all all the peoples are not safe and the police department is also very lazy,Kodaikanal
"Sinhagad is hilly fortress made by Kaundilyas ago 2000 years . But in era of Mugal thugs . It was a House of Shivaji Maharaj. Mughal try many times but ""Jiska sacha iman , Uska hi Inam "". Shiva ji and Maratha rulers controlled over it.",Sinhagad
"Sihnagad fort is good place for trekking, nice view from top especially in Monsoon season.For 1 day trip. Sinhgad Fort is a very scenic place with a beautiful view all around. It is very nice to visit in the winter and during the monsoons. The Fort itself is a perfect example of neglect and administrative apathy. It is a place mostly used by trekkers to climb up from the base and for college students spending the afternoon with their friends or love interest. There is no decent toilet which can be a problem for women travellers. The road to this fort is so horrible.The zunka bhakri stalls offer this typical maharashtrian dish.prepared fresh.very cheap rates.taste.There are hawkers everywhere and people throw their waste around in this beautiful heritage. But my last visit of this fort is worst.Here some people's are misguide youand local cab opreater charge you double. if you coming your own vehicle thats good, but if your coming with local vehicle, then they charged you 50 rupee person, and after 6:00 pm they charge 100 rupee person.its too bad.",Sinhagad
"Sinhagad is a fort located near Pune. Shivaji Maharaj named it after his warrior Bajiprabhu who died in the battle. The fort is not well maintained but that doesn't mean you can't have a good time here. The fort has a very important historical significance and majors are being taken to preserve it. How can you get there? By Train: The nearest train station is Pune Station. From there you have to go either by bus or car or shared rickshaw. By Air: The nearest airport is Pune Airport. From there its either bus or cab. By road: You can go by road either in car or bus or shared rickshaw or by your own bike. The ride is really beautiful. The road is not that well maintained and there are many potholes but in the end its all worth it. Local sightseeing - There are many points you can see on Sinhagad. Since its a fort you can various doors and watch points of that time. The fort is surrounded by the Sahyadri mountains and the view is amazing for any given point. Sinhagad is a great place to get some quite and peace away from all the city noice. It is a great escape. Hotels and Accommodation - Hotels here are not exactly what you [picture a hotel to be. they are actually small hotels set up in a tent. If you are worrying about the quality of the food, don't! the food absolutely delicious and mouth watering. The menu on the fort is the same no matter where you go: kanda bhaji and zumka bhakar, curd. People come here for this special menu only. It is something you can't help but want more. You don't complain about there not being variety. The menu available is enough. The fort is more visited during rainy season as it is a great spot to go and enjoy the monsoon. The clouds are at your feet literally. You get to see the nature like never before and it breathtaking. This is a one day trip. Before you were not able to stay or camp on the fort but now there is lodge on the fort and you can stay there over night if you want. You have to book the rooms before hand. Safety - I have been going to Sinhagad since I was 2 years old or may be before that. I still haven;t had any alarming incident or any kind of worrying incident. The place is safe. You do have to be careful when you are on the edge of the mountain as it is quite a drop. Other than that no issues with the people. People are quite helpful.",Sinhagad
"Sinhagad fort is the best fort I have ever seen . it is about 30 to 50 kms ride from pune. we went by bike.  its a place with rich history. The best time to visit sinhagad is in rainy season. Also there are bus services available from pune to sinhagad. Nice place to go on weekend. Local snacks available on all over the hills. Trekking may take long time approx 1 hour depending on the person fitness so please carry water bottle, cap, sweater and wear shoes. Top view looks very beautiful. I like ""pithale bhakri"" and ""Kanda bhaji "" Wide range of hotels are available between pune to singhagad village like Hotel Samruddhi Inn, Shree Inn loudge and HMR Royal Inn. The road is not so good in condition. overall it was nice experience(specially trekking) I recommended to go in rainy season or in winter(early in the morning to view beautiful sun rise).",Sinhagad
This is like one natural place .and all fqlxibql things are here so one time you try to visit the website. We have a look at the moment. The comments for your help. I have been a while. I have been a while. I have been a while to find the contact us at the moment. The comments for your help. I use it. It has been a while. I have been,Machranga Dweep (Kingfisher Island)
"If you are tired of searching of a good picnic spot and you don't like too much crowed then this is the right place for you. Amazing place near kolkata, only 75 kms from Kolkata. Last month I went with my family and seriously we enjoyed a lot. This small island is located between Bhasa River and Ichamati River. And most amazing thing is that you can see the view of Bangladesh! I went to Hasnabad first and then I booked a motor boat from ferry dock to reach Machranga Dweep or Dwip.  This ammazing island is covered by trees and it's ideal for fun-filled day trip. Awesome sightseeing and great nature walk over the green field. The most spectacular view is that sun over Ichamati River. From this island I have seen a really amazing view of Bangladesh and I fall in love with this place. And we stayed in Taki for 2 days and for your information you will not get any hotel or accommodation in the island. Dining also available in Taki. And price is really cheap. So, best timing to travel in day and you can travel throughout the year except rainy season. It is safe because you are going on day time and the local people are really helpful. We arranged a picnic, take a boat ride and also have a swim on the river. Really we had a great fun. I am planning to go again and I already recommend this place to all of my friends. Now I am telling to you all. Have fun and enjoy every moments of your life.",Machranga Dweep (Kingfisher Island)
"Sinhagad fort is situated in pune. It named as sinhagad after great warrior tanaji malusare died while war. It has huge historical importance. I went there in rainy season. At that time the scenery around there was visual treat for me. From top, we can see torna, rajgad, tung and other forts it is a great place for picnic. It is well maintained in comparison of other fort. best part of this fort is that we can also go by vehicles till last end so anyone can visit there without any problem.it is popular between tourist so its very crowded place. Late night stay is prohibited there so you want to see all points then have to come early in morning.if you are trek lover then you should visit this place. And if you are nature lover then you should visit this place in rainy season. After reaching at the top of fort there is hotel which serves you tasty food. There specialities are zunka bhakar, kanda bhaji and chatni.and if you want they serve sweet curd. The only thing which dispoints me is that its hygiene condition is very poor.",Sinhagad
"Machranga Dweep is mind blowing Picnic spot near Ichamati river . This is Only beautiful arena where you can come 24×7 for picnics / fun / exploring situated at Hasnabad . If you are coming here always try public Bus service I remember bus no ( 79 c) which arrives from shyamaBazar to hasnabad. Never Opt for motor boat that is huge risky . You will be surprise to know all the arrangements are made by the Local Panchayat Samiti . And This time there are a lot of improovements made by them . Now No dirt was there , Every street was having 2 dustbins minimum and it is quite impressive to see Guards near River Ichamati to control Water pollution. There are many Hotels in this area . Prefer Kundan Hotel if you are vegetaian .They provide  Excellent services and Price is very Genuine . Dont prefer Dharamshalas as their is so much Dirtiness . You are safe here untill under the Rules and regulations . But dont Prefer outing during Night . But overall this place is Good picnic spot .",Machranga Dweep (Kingfisher Island)
"The machranga dwip located in kolkata is 70km away from the city and can be reached by bus and trains .The Hasnabad local train goes via Taki station which is close to this place.From Taki road Station , the getty ghat takes 15minutes to reach by van rickshaw.River cruise boats can be hired.The old deity of Nandalal jeity is near this palce.The dwip near the confluence of the Ichchamati and Vasa can be reached can be reached from here via boats .Ferri services are also availabe.The place this an absolute wonder to watch.It was a wonderful experienc evisiting the place.",Machranga Dweep (Kingfisher Island)
"Hi friends this is khaled from Hyderabad. Today I am going to review about macharanga dweep which is situated in Kolkata, west bengal. Actually this place is 60 kms away from kolkatta.i visited this place along with few friends and we did hire a boat to reach this island called macharanga dweep which is between the two famous rivers. It is a natural beauty and we can witness  clean waters which very good from the boat. We can find lots of birds and water animals too in this island which is very famous place for tourist. The scene from the boat looks awesome and I cant describe its beauty in words, and we enjoyed a lot in boat ride. The peopel of this island are very helpfull and cooperative and can be reached only by boat on this island. Overa ll I can say that its a very good place near to kolkatta to visit along with family and friends.",Machranga Dweep (Kingfisher Island)
"Hii friends, I would like to share my personal experience with the Machranga Dweep. I wanted to go on a trip from a long time.but the situation didn't set fit. Suddenly last month my friends were planning to go on a tour.  They asked me if I am a interested. I said them okk. But we couldn't decide where we were going. One of our friends suggested that we should go to Machranga Dweep. We liked his idea and be read for Machranga Dweep. The next morning we reached kolkata at 9 o'clock.  The Machranga Dweep is just 70 kms away from kolkata. From there we hired a boat and went away. The scene of water was beautiful. The Machranga Dweep is situated between two rivers. After 2 hours we reached at Machranga Dweep. The Machranga Dweep looked so beautiful. There were trees all around the dweep which shows the beauty of nature. The scene of sea from the dweep looked like an awesome scene. I can't describe the beauty of Machranga Dweep in words. We also enjoyed their boat riding also. The people of Machranga Dweep was also helpful. They speak very polite. I suggest you friends to visit Machranga Dweep one time. Thanks for reading my review.",Machranga Dweep (Kingfisher Island)
"SINHAGAD : - If you are in or around POONA, you must try to take a trip to the nearby Sinhagad Fort. I stay in Mumbai but whenever I and my friends had a bigbreak we always go there even alone I have visited the fort on numerous times. Hence I know it very well This fort is situated on a mountain, which offers us a excellent birds eye view from the top of it. It is situated about 28-29  kms from Pune the Poona city. People like to trek the fort.  To reach to the base of the Sinhagad fort from the city we can also board a local transport bus [Pune Municipal Transport ] which we can alight from Bajirao Road to the base of Sinhagad. Old enginnering structures of the fort are marvellous which reminds us the Glory fo the Maratha kingdom 3 centuries ago. Sinhagad was one of the most iportant and the strategic fort of the Maratha empire during Shri Chhatrapati Shivaji Maharaj`s era. You will also get to see TV transmission Tower installed by the Government of Maharashtra in the vicinity Sinhagad fort. For foodies, one gets the chance to taste the rural food which is very delicious, which consists of  Onion Bhaji, buttermilk, bhaakri, Pithale and many variety. A trip to Sinhagad is highly recommended by me to all of you who lives for adventure. NOTE :- Bit dangerous road, Not much of shelter &  No toilet facilities available :- Thats what I call adventorous .",Sinhagad
"Visakhapatnam is considered a centre for education in Andhra Pradesh.Visakhapatnam has one of the country's largest ports and its oldest shipyard. It has the only natural harbour on the eastern coast of India. As the city is located on the Bay of Bengal, the humidity remains high throughout the year. The months from November to February are the best times to visit the city. Vizag beach has a special attraction, generally the beach ends with soil, sand or mountains but in vizag we can see the beach ending with these three at a place. So shortly is good and beautiful place.",Visakhapatnam
Hi! Friends . This Machranga Dweep is situated 70Kms away from kolkata in between two rivers. I visited there just due to some of my friends request because one of my friend wants to capture birds and environment photographs. We hired a boat to reach on Dweep. From boat the reflection of environment is reflecting on clear water thats looking so beautiful.  After reaching there many people was gathering there and some living people guiding to go there places. There is lots of birds flying over and hearing their voices feel too good. At noon we thought to stay somewhere but there is no hotel and good food facilities. Thats disappointed but further we were enjoying the real beauty of nature. At some places there is boundaries on the bank of rivers for the safety reasons.,Machranga Dweep (Kingfisher Island)
Vishakapatnam is known for its steel plant which one of top steep producing plant in india vizag has three beaches one it is very famous RK beach the sun set at rk beach is great there is a mountain on which light house is located which is names as dolphin mountain as it resembles dolphin other beaches like bhimeeli  and yarada are also exiting vizag also has a navy  base  where India's sea way operations are held it has submarine which placed for demonstration every year navy soldiers conduct air show on navy day and demonstrate their power and regards to nation near rk beach there is a a hill named kalishgiri where appex 100 feet load shiva and goddess parvathi devi statue are located and there is a rope way to climb hill from top of hill we can view total vizag beauty other place like yanam and araku are most view able,Visakhapatnam
"One of the best seashore cities of the India. Visakhapatnam is located on the coast of the Bay of Bengal in the state of Andhra Pradesh. Visakhapatnam has been nicely developed with the conduct of one of India's most prestigious even known as an International fleet review in the year of 2016. The entire city got well developed and decorated and aa the navies of almost 50 countries participated in the event. Visakhapatnam is also a tourist destination for almost all age groups. It has got many beaches and various historical heritage. The history of Visakhapatnam has been very interesting. There are many industries like Vizag steel plant, petroleum industry and much more. One of India's most famous beach known as RK Beach is there in the heart of the city. A must visit destination for all. The local language is Telugu, but u will find easily the people who can understand Hindi and English too.",Visakhapatnam
"Kodaikanal is a high hill station and tourist spot. It is situated in the south Indian state Tamilnadu. I went Chennai for treatment of my grandfather. After his recovery we were happy and me and my elder brother decided to go kodiakanal 26th June 2017.I was shocked after claimed on hill. It is 120 km way from nearest Madurai airport. Kodai Lake was most attractive. Some important sight seeing is Bryant park, Berijam lake, silent valley, piller rocks. cookers walk, Devil's kitchen, Guna caves, shanti vallwy .I have fallen on love with nature. Hotels and accommodation is good and reasonable.Movies are taken in kodaikanal. Safety is awesome. Don't miss this if you go Tamil nadu.",Kodaikanal
